dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1844-12-01,10.533,1.882,Mexico,Mexico
1845-01-01,12.654000000000002,1.992,Mexico,Mexico
1845-02-01,12.601,2.665,Mexico,Mexico
1845-03-01,14.811,1.826,Mexico,Mexico
1845-04-01,17.171,1.6880000000000002,Mexico,Mexico
1845-05-01,17.473,1.642,Mexico,Mexico
1845-06-01,17.357,1.6269999999999998,Mexico,Mexico
1845-07-01,16.891000000000002,1.341,Mexico,Mexico
1845-08-01,16.631999999999998,1.198,Mexico,Mexico
1845-09-01,15.649,1.352,Mexico,Mexico
1845-10-01,13.648,1.565,Mexico,Mexico
1845-11-01,12.759,1.6780000000000002,Mexico,Mexico
1845-12-01,10.252,2.001,Mexico,Mexico
1846-01-01,12.898,1.852,Mexico,Mexico
1846-02-01,13.36,1.7919999999999998,Mexico,Mexico
1846-03-01,16.665,1.801,Mexico,Mexico
1846-04-01,16.256,1.787,Mexico,Mexico
1846-05-01,17.866999999999994,1.952,Mexico,Mexico
1846-06-01,18.404,1.546,Mexico,Mexico
1846-07-01,17.708000000000006,1.617,Mexico,Mexico
1846-08-01,16.623,1.365,Mexico,Mexico
1846-09-01,16.351,1.652,Mexico,Mexico
1846-10-01,14.327,1.433,Mexico,Mexico
1846-11-01,13.611,1.872,Mexico,Mexico
1846-12-01,13.592,1.594,Mexico,Mexico
1847-01-01,12.164,3.931,Mexico,Mexico
1847-02-01,13.707,1.724,Mexico,Mexico
1847-03-01,14.213,2.252,Mexico,Mexico
1847-04-01,17.441,1.686,Mexico,Mexico
1847-05-01,17.483999999999998,1.57,Mexico,Mexico
1847-06-01,17.756,1.723,Mexico,Mexico
1847-07-01,17.188000000000002,1.423,Mexico,Mexico
1847-08-01,16.844,1.348,Mexico,Mexico
1847-09-01,16.105999999999998,1.3230000000000002,Mexico,Mexico
1847-10-01,14.816,1.489,Mexico,Mexico
1847-11-01,13.553,1.6840000000000002,Mexico,Mexico
1847-12-01,10.94,2.096,Mexico,Mexico
1848-01-01,11.214,1.904,Mexico,Mexico
1848-02-01,14.458,1.757,Mexico,Mexico
1848-03-01,15.345,1.723,Mexico,Mexico
1848-04-01,16.932000000000002,1.669,Mexico,Mexico
1848-05-01,17.619999999999994,1.716,Mexico,Mexico
1848-06-01,17.022000000000002,1.679,Mexico,Mexico
1848-07-01,17.587,1.788,Mexico,Mexico
1848-08-01,16.8,1.5419999999999998,Mexico,Mexico
1848-09-01,15.572,1.433,Mexico,Mexico
1848-10-01,15.088,1.537,Mexico,Mexico
1848-11-01,12.469,1.55,Mexico,Mexico
1848-12-01,12.07,1.853,Mexico,Mexico
1849-01-01,13.486999999999998,2.2880000000000003,Mexico,Mexico
1849-02-01,13.445,1.806,Mexico,Mexico
1849-03-01,16.82,2.047,Mexico,Mexico
1849-04-01,16.816,1.604,Mexico,Mexico
1849-05-01,17.587999999999994,1.475,Mexico,Mexico
1849-06-01,17.948,1.476,Mexico,Mexico
1849-07-01,17.488,1.229,Mexico,Mexico
1849-08-01,17.57,1.42,Mexico,Mexico
1849-09-01,16.459,1.319,Mexico,Mexico
1849-10-01,14.419,1.744,Mexico,Mexico
1849-11-01,14.368,1.974,Mexico,Mexico
1849-12-01,12.352,1.267,Mexico,Mexico
1850-01-01,14.194,3.353,Mexico,Mexico
1850-02-01,14.73,2.09,Mexico,Mexico
1850-03-01,16.266000000000002,2.483,Mexico,Mexico
1850-04-01,17.124000000000002,1.838,Mexico,Mexico
1850-05-01,16.326,1.829,Mexico,Mexico
1850-06-01,17.45,1.269,Mexico,Mexico
1850-07-01,17.709,1.219,Mexico,Mexico
1850-08-01,17.754,1.052,Mexico,Mexico
1850-09-01,16.759999999999998,1.106,Mexico,Mexico
1850-10-01,15.061,1.745,Mexico,Mexico
1850-11-01,13.133,1.887,Mexico,Mexico
1850-12-01,10.59,1.5830000000000002,Mexico,Mexico
1851-01-01,12.557,1.974,Mexico,Mexico
1851-02-01,13.044,1.561,Mexico,Mexico
1851-03-01,15.223,2.079,Mexico,Mexico
1851-04-01,17.147000000000002,2.005,Mexico,Mexico
1851-05-01,18.659,1.4680000000000002,Mexico,Mexico
1851-06-01,18.208,1.301,Mexico,Mexico
1851-07-01,16.816000000000006,1.906,Mexico,Mexico
1851-08-01,17.419999999999998,1.55,Mexico,Mexico
1851-09-01,15.907,1.394,Mexico,Mexico
1851-10-01,15.092,2.375,Mexico,Mexico
1851-11-01,12.283,1.654,Mexico,Mexico
1851-12-01,12.041,2.969,Mexico,Mexico
1852-01-01,10.028,2.309,Mexico,Mexico
1852-02-01,15.128,3.175,Mexico,Mexico
1852-03-01,15.705,2.709,Mexico,Mexico
1852-04-01,17.479,2.963,Mexico,Mexico
1852-05-01,18.749,2.253,Mexico,Mexico
1852-06-01,17.533,1.291,Mexico,Mexico
1852-07-01,17.07,1.5530000000000002,Mexico,Mexico
1852-08-01,17.319000000000003,2.9130000000000003,Mexico,Mexico
1852-09-01,16.192,1.289,Mexico,Mexico
1852-10-01,14.654000000000002,2.1,Mexico,Mexico
1852-11-01,13.466,3.486,Mexico,Mexico
1852-12-01,13.378,1.624,Mexico,Mexico
1853-01-01,10.831,1.672,Mexico,Mexico
1853-02-01,11.917,1.523,Mexico,Mexico
1853-03-01,14.185,1.951,Mexico,Mexico
1853-04-01,16.942,1.37,Mexico,Mexico
1853-05-01,18.244,1.528,Mexico,Mexico
1853-06-01,17.054000000000002,1.547,Mexico,Mexico
1853-07-01,17.715999999999998,0.976,Mexico,Mexico
1853-08-01,16.559,1.27,Mexico,Mexico
1853-09-01,15.885,1.4469999999999998,Mexico,Mexico
1853-10-01,14.338,1.351,Mexico,Mexico
1853-11-01,13.706,1.924,Mexico,Mexico
1853-12-01,12.012,1.546,Mexico,Mexico
1854-01-01,11.126,2.234,Mexico,Mexico
1854-02-01,12.338,1.551,Mexico,Mexico
1854-03-01,16.463,1.505,Mexico,Mexico
1854-04-01,16.49,1.268,Mexico,Mexico
1854-05-01,18.136,1.239,Mexico,Mexico
1854-06-01,17.345000000000002,1.5119999999999998,Mexico,Mexico
1854-07-01,16.086000000000002,1.936,Mexico,Mexico
1854-08-01,16.156,1.463,Mexico,Mexico
1854-09-01,15.798,1.332,Mexico,Mexico
1854-10-01,15.476,1.661,Mexico,Mexico
1854-11-01,12.979,1.35,Mexico,Mexico
1854-12-01,10.437,2.4130000000000003,Mexico,Mexico
1855-01-01,12.531,2.768,Mexico,Mexico
1855-02-01,12.035,2.359,Mexico,Mexico
1855-03-01,13.987,2.504,Mexico,Mexico
1855-04-01,17.214000000000002,2.063,Mexico,Mexico
1855-05-01,19.245,1.897,Mexico,Mexico
1855-06-01,17.494,1.827,Mexico,Mexico
1855-07-01,15.815,1.87,Mexico,Mexico
1855-08-01,15.887,1.4780000000000002,Mexico,Mexico
1855-09-01,15.214,1.787,Mexico,Mexico
1855-10-01,13.476,1.6130000000000002,Mexico,Mexico
1855-11-01,13.348,1.4280000000000002,Mexico,Mexico
1855-12-01,11.755,2.177,Mexico,Mexico
1856-01-01,9.127,2.842,Mexico,Mexico
1856-02-01,12.01,1.737,Mexico,Mexico
1856-03-01,14.575,2.13,Mexico,Mexico
1856-04-01,17.483999999999998,1.655,Mexico,Mexico
1856-05-01,17.796999999999993,1.845,Mexico,Mexico
1856-06-01,18.596,2.051,Mexico,Mexico
1856-07-01,17.004,1.368,Mexico,Mexico
1856-08-01,18.017,1.47,Mexico,Mexico
1856-09-01,15.252,1.764,Mexico,Mexico
1856-10-01,13.69,1.75,Mexico,Mexico
1856-11-01,11.817,2.469,Mexico,Mexico
1856-12-01,11.324000000000002,2.003,Mexico,Mexico
1857-01-01,11.168,2.017,Mexico,Mexico
1857-02-01,14.531,1.783,Mexico,Mexico
1857-03-01,14.271,2.09,Mexico,Mexico
1857-04-01,14.88,2.655,Mexico,Mexico
1857-05-01,17.194000000000003,2.116,Mexico,Mexico
1857-06-01,18.07,1.651,Mexico,Mexico
1857-07-01,17.351000000000006,1.361,Mexico,Mexico
1857-08-01,17.512,1.072,Mexico,Mexico
1857-09-01,15.828,0.953,Mexico,Mexico
1857-10-01,14.681,1.521,Mexico,Mexico
1857-11-01,13.578,1.125,Mexico,Mexico
1857-12-01,11.865,1.192,Mexico,Mexico
1858-01-01,12.994000000000002,2.15,Mexico,Mexico
1858-02-01,12.249,1.599,Mexico,Mexico
1858-03-01,15.263,1.741,Mexico,Mexico
1858-04-01,17.837,1.529,Mexico,Mexico
1858-05-01,19.244,2.68,Mexico,Mexico
1858-06-01,17.924,2.081,Mexico,Mexico
1858-07-01,17.358,2.4,Mexico,Mexico
1858-08-01,16.915,1.253,Mexico,Mexico
1858-09-01,16.266,1.493,Mexico,Mexico
1858-10-01,16.483999999999998,1.764,Mexico,Mexico
1858-11-01,11.937,1.585,Mexico,Mexico
1858-12-01,11.604,1.399,Mexico,Mexico
1859-01-01,11.795,1.594,Mexico,Mexico
1859-02-01,14.966,1.362,Mexico,Mexico
1859-03-01,16.472,2.273,Mexico,Mexico
1859-04-01,17.835,1.693,Mexico,Mexico
1859-05-01,19.437,1.416,Mexico,Mexico
1859-06-01,18.495,1.156,Mexico,Mexico
1859-07-01,17.155,1.321,Mexico,Mexico
1859-08-01,17.634,0.87,Mexico,Mexico
1859-09-01,16.035999999999998,0.9,Mexico,Mexico
1859-10-01,14.689,1.15,Mexico,Mexico
1859-11-01,13.75,2.02,Mexico,Mexico
1859-12-01,10.273,1.487,Mexico,Mexico
1860-01-01,11.459,1.349,Mexico,Mexico
1860-02-01,12.317,1.3219999999999998,Mexico,Mexico
1860-03-01,14.03,1.94,Mexico,Mexico
1860-04-01,17.326,1.53,Mexico,Mexico
1860-05-01,18.19,2.551,Mexico,Mexico
1860-06-01,19.109,0.959,Mexico,Mexico
1860-07-01,17.642,1.132,Mexico,Mexico
1860-08-01,16.761,0.95,Mexico,Mexico
1860-09-01,16.136,0.93,Mexico,Mexico
1860-10-01,14.712,0.994,Mexico,Mexico
1860-11-01,13.343,1.963,Mexico,Mexico
1860-12-01,11.296,1.649,Mexico,Mexico
1861-01-01,11.262,1.988,Mexico,Mexico
1861-02-01,12.099,1.659,Mexico,Mexico
1861-03-01,15.039,1.477,Mexico,Mexico
1861-04-01,17.149,1.6740000000000002,Mexico,Mexico
1861-05-01,18.138,1.872,Mexico,Mexico
1861-06-01,18.843,1.371,Mexico,Mexico
1861-07-01,17.906000000000006,1.255,Mexico,Mexico
1861-08-01,17.098,1.477,Mexico,Mexico
1861-09-01,16.55,1.735,Mexico,Mexico
1861-10-01,14.682,1.575,Mexico,Mexico
1861-11-01,15.044,1.838,Mexico,Mexico
1861-12-01,13.17,1.944,Mexico,Mexico
1862-01-01,13.044,2.003,Mexico,Mexico
1862-02-01,12.984000000000002,2.04,Mexico,Mexico
1862-03-01,15.227,1.6880000000000002,Mexico,Mexico
1862-04-01,17.616,1.568,Mexico,Mexico
1862-05-01,18.482,1.624,Mexico,Mexico
1862-06-01,18.279,1.405,Mexico,Mexico
1862-07-01,17.810000000000006,1.233,Mexico,Mexico
1862-08-01,17.485,1.259,Mexico,Mexico
1862-09-01,16.361,1.368,Mexico,Mexico
1862-10-01,14.327,1.83,Mexico,Mexico
1862-11-01,13.149,1.5,Mexico,Mexico
1862-12-01,11.114,1.714,Mexico,Mexico
1863-01-01,11.89,2.113,Mexico,Mexico
1863-02-01,13.808,2.404,Mexico,Mexico
1863-03-01,16.567,1.348,Mexico,Mexico
1863-04-01,17.660999999999998,1.5630000000000002,Mexico,Mexico
1863-05-01,17.622999999999994,2.049,Mexico,Mexico
1863-06-01,18.16,1.254,Mexico,Mexico
1863-07-01,17.274,1.117,Mexico,Mexico
1863-08-01,17.029,1.235,Mexico,Mexico
1863-09-01,16.721,1.517,Mexico,Mexico
1863-10-01,14.712,1.21,Mexico,Mexico
1863-11-01,13.099,1.386,Mexico,Mexico
1863-12-01,10.981,1.376,Mexico,Mexico
1864-01-01,10.977,1.778,Mexico,Mexico
1864-02-01,12.942,1.715,Mexico,Mexico
1864-03-01,14.431,1.826,Mexico,Mexico
1864-04-01,16.727,1.5630000000000002,Mexico,Mexico
1864-05-01,17.564,1.5019999999999998,Mexico,Mexico
1864-06-01,18.362,1.761,Mexico,Mexico
1864-07-01,17.239,1.569,Mexico,Mexico
1864-08-01,16.805,1.33,Mexico,Mexico
1864-09-01,17.192,1.368,Mexico,Mexico
1864-10-01,14.287,1.415,Mexico,Mexico
1864-11-01,13.048,1.6269999999999998,Mexico,Mexico
1864-12-01,12.514,1.936,Mexico,Mexico
1865-01-01,12.178999999999998,1.717,Mexico,Mexico
1865-02-01,13.238,1.863,Mexico,Mexico
1865-03-01,15.02,1.579,Mexico,Mexico
1865-04-01,17.006,1.556,Mexico,Mexico
1865-05-01,18.211,1.489,Mexico,Mexico
1865-06-01,18.274,1.305,Mexico,Mexico
1865-07-01,17.409000000000002,1.28,Mexico,Mexico
1865-08-01,17.561,1.263,Mexico,Mexico
1865-09-01,16.267,1.33,Mexico,Mexico
1865-10-01,14.687,1.494,Mexico,Mexico
1865-11-01,13.526,1.67,Mexico,Mexico
1865-12-01,12.800999999999998,2.329,Mexico,Mexico
1866-01-01,12.957999999999998,1.803,Mexico,Mexico
1866-02-01,12.748,1.909,Mexico,Mexico
1866-03-01,16.035,1.41,Mexico,Mexico
1866-04-01,17.305999999999997,1.472,Mexico,Mexico
1866-05-01,18.144,1.48,Mexico,Mexico
1866-06-01,17.545,1.398,Mexico,Mexico
1866-07-01,17.238,1.222,Mexico,Mexico
1866-08-01,17.349999999999998,1.246,Mexico,Mexico
1866-09-01,16.863,1.064,Mexico,Mexico
1866-10-01,14.569,1.115,Mexico,Mexico
1866-11-01,13.154000000000002,1.245,Mexico,Mexico
1866-12-01,12.295,1.267,Mexico,Mexico
1867-01-01,12.706,1.612,Mexico,Mexico
1867-02-01,14.258,1.435,Mexico,Mexico
1867-03-01,16.584,1.933,Mexico,Mexico
1867-04-01,17.697,1.32,Mexico,Mexico
1867-05-01,18.482,1.43,Mexico,Mexico
1867-06-01,18.575,1.129,Mexico,Mexico
1867-07-01,17.422,1.251,Mexico,Mexico
1867-08-01,17.573999999999998,1.31,Mexico,Mexico
1867-09-01,17.393,1.071,Mexico,Mexico
1867-10-01,15.416,1.37,Mexico,Mexico
1867-11-01,13.668,1.744,Mexico,Mexico
1867-12-01,14.124,2.414,Mexico,Mexico
1868-01-01,12.546,1.429,Mexico,Mexico
1868-02-01,12.843,1.803,Mexico,Mexico
1868-03-01,16.094,1.4280000000000002,Mexico,Mexico
1868-04-01,17.299,1.358,Mexico,Mexico
1868-05-01,17.958,1.2919999999999998,Mexico,Mexico
1868-06-01,18.433,1.141,Mexico,Mexico
1868-07-01,16.86,1.074,Mexico,Mexico
1868-08-01,17.041,1.207,Mexico,Mexico
1868-09-01,16.602,1.185,Mexico,Mexico
1868-10-01,15.237,1.371,Mexico,Mexico
1868-11-01,12.104,1.3259999999999998,Mexico,Mexico
